,PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
38,508,1,"Bradley, Mr. George (""George Arthur Brayton"")",male,,0,0,111427,26.55,,S,1
39,588,1,"Frolicher-Stehli, Mr. Maxmillian",male,60.0,1,1,13567,79.2,B41,C,1
40,827,3,"Lam, Mr. Len",male,,0,0,1601,56.4958,,S,0
41,228,3,"Lovell, Mr. John Hall (""Henry"")",male,20.5,0,0,A/5 21173,7.25,,S,0
42,63,1,"Harris, Mr. Henry Birkhardt",male,45.0,1,0,36973,83.475,C83,S,0
43,175,1,"Smith, Mr. James Clinch",male,56.0,0,0,17764,30.6958,A7,C,0
44,872,1,"Beckwith, Mrs. Richard Leonard (Sallie Monypeny)",female,47.0,1,1,11751,52.5542,D35,S,1
45,298,1,"Allison, Miss. Helen Loraine",female,2.0,1,2,113781,151.55,C22 C26,S,0
46,33,3,"Glynn, Miss. Mary Agatha",female,,0,0,335677,7.75,,Q,1
47,440,2,"Kvillner, Mr. Johan Henrik Johannesson",male,31.0,0,0,C.A. 18723,10.5,,S,0
48,35,1,"Meyer, Mr. Edgar Joseph",male,28.0,1,0,PC 17604,82.1708,,C,0
49,328,2,"Ball, Mrs. (Ada E Hall)",female,36.0,0,0,28551,13.0,D,S,1
50,782,1,"Dick, Mrs. Albert Adrian (Vera Gillespie)",female,17.0,1,0,17474,57.0,B20,S,1
51,589,3,"Gilinski, Mr. Eliezer",male,22.0,0,0,14973,8.05,,S,0
52,515,3,"Coleff, Mr. Satio",male,24.0,0,0,349209,7.4958,,S,0
53,340,1,"Blackwell, Mr. Stephen Weart",male,45.0,0,0,113784,35.5,T,S,0
54,571,2,"Harris, Mr. George",male,62.0,0,0,S.W./PP 752,10.5,,S,1
55,639,3,"Panula, Mrs. Juha (Maria Emilia Ojala)",female,41.0,0,5,3101295,39.6875,,S,0
56,369,3,"Jermyn, Miss. Annie",female,,0,0,14313,7.75,,Q,1
57,852,3,"Svensson, Mr. Johan",male,74.0,0,0,347060,7.775,,S,0
58,194,2,"Navratil, Master. Michel M",male,3.0,1,1,230080,26.0,F2,S,1
59,191,2,"Pinsky, Mrs. (Rosa)",female,32.0,0,0,234604,13.0,,S,1
60,661,1,"Frauenthal, Dr. Henry William",male,50.0,2,0,PC 17611,133.65,,S,1
61,224,3,"Nenkoff, Mr. Christo",male,,0,0,349234,7.8958,,S,0
62,105,3,"Gustafsson, Mr. Anders Vilhelm",male,37.0,2,0,3101276,7.925,,S,0
63,293,2,"Levy, Mr. Rene Jacques",male,36.0,0,0,SC/Paris 2163,12.875,D,C,0
64,371,1,"Harder, Mr. George Achilles",male,25.0,1,0,11765,55.4417,E50,C,1
65,848,3,"Markoff, Mr. Marin",male,35.0,0,0,349213,7.8958,,C,0
66,676,3,"Edvardsson, Mr. Gustaf Hjalmar",male,18.0,0,0,349912,7.775,,S,0
67,36,1,"Holverson, Mr. Alexander Oskar",male,42.0,1,0,113789,52.0,,S,0
68,751,2,"Wells, Miss. Joan",female,4.0,1,1,29103,23.0,,S,1
69,653,3,"Kalvik, Mr. Johannes Halvorsen",male,21.0,0,0,8475,8.4333,,S,0
70,50,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.0,1,0,349237,17.8,,S,0
71,720,3,"Johnson, Mr. Malkolm Joackim",male,33.0,0,0,347062,7.775,,S,0
72,183,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.0,4,2,347077,31.3875,,S,0
73,597,2,"Leitch, Miss. Jessie Wills",female,,0,0,248727,33.0,,S,1
74,619,2,"Becker, Miss. Marion Louise",female,4.0,2,1,230136,39.0,F4,S,1
75,129,3,"Peter, Miss. Anna",female,,1,1,2668,22.3583,F E69,C,1
76,352,1,"Williams-Lambert, Mr. Fletcher Fellows",male,,0,0,113510,35.0,C128,S,0
77,816,1,"Fry, Mr. Richard",male,,0,0,112058,0.0,B102,S,0
78,736,3,"Williams, Mr. Leslie",male,28.5,0,0,54636,16.1,,S,0
79,760,1,"Rothes, the Countess. of (Lucy Noel Martha Dyer-Edwards)",female,33.0,0,0,110152,86.5,B77,S,1
80,763,3,"Barah, Mr. Hanna Assi",male,20.0,0,0,2663,7.2292,,C,1
81,498,3,"Shellard, Mr. Frederick William",male,,0,0,C.A. 6212,15.1,,S,0
82,101,3,"Petranec, Miss. Matilda",female,28.0,0,0,349245,7.8958,,S,0
83,172,3,"Rice, Master. Arthur",male,4.0,4,1,382652,29.125,,Q,0
84,240,2,"Hunt, Mr. George Henry",male,33.0,0,0,SCO/W 1585,12.275,,S,0
85,201,3,"Vande Walle, Mr. Nestor Cyriel",male,28.0,0,0,345770,9.5,,S,0
86,226,3,"Berglund, Mr. Karl Ivar Sven",male,22.0,0,0,PP 4348,9.35,,S,0
87,112,3,"Zabour, Miss. Hileni",female,14.5,1,0,2665,14.4542,,C,0
88,474,2,"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",female,23.0,0,0,SC/AH Basle 541,13.7917,D,C,1
89,325,3,"Sage, Mr. George John Jr",male,,8,2,CA. 2343,69.55,,S,0
90,401,3,"Niskanen, Mr. Juha",male,39.0,0,0,STON/O 2. 3101289,7.925,,S,1
91,620,2,"Gavey, Mr. Lawrence",male,26.0,0,0,31028,10.5,,S,0
92,382,3,"Nakid, Miss. Maria (""Mary"")",female,1.0,0,2,2653,15.7417,,C,1
93,384,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.0,1,0,113789,52.0,,S,1
94,408,2,"Richards, Master. William Rowe",male,3.0,1,1,29106,18.75,,S,1
95,568,3,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",female,29.0,0,4,349909,21.075,,S,0
96,709,1,"Cleaver, Miss. Alice",female,22.0,0,0,113781,151.55,,S,1
97,530,2,"Hocking, Mr. Richard George",male,23.0,2,1,29104,11.5,,S,0
98,245,3,"Attalah, Mr. Sleiman",male,30.0,0,0,2694,7.225,,C,0
99,166,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.0,0,2,363291,20.525,,S,1
100,299,1,"Saalfeld, Mr. Adolphe",male,,0,0,19988,30.5,C106,S,1
101,826,3,"Flynn, Mr. John",male,,0,0,368323,6.95,,Q,0
102,886,3,"Rice, Mrs. William (Margaret Norton)",female,39.0,0,5,382652,29.125,,Q,0
103,447,2,"Mellinger, Miss. Madeleine Violet",female,13.0,0,1,250644,19.5,,S,1
104,767,1,"Brewe, Dr. Arthur Jackson",male,,0,0,112379,39.6,,C,0
105,331,3,"McCoy, Miss. Agnes",female,,2,0,367226,23.25,,Q,1
106,82,3,"Sheerlinck, Mr. Jan Baptist",male,29.0,0,0,345779,9.5,,S,1
107,141,3,"Boulos, Mrs. Joseph (Sultana)",female,,0,2,2678,15.2458,,C,0
108,399,2,"Pain, Dr. Alfred",male,23.0,0,0,244278,10.5,,S,0
109,738,1,"Lesurer, Mr. Gustave J",male,35.0,0,0,PC 17755,512.3292,B101,C,1
110,703,3,"Barbara, Miss. Saiide",female,18.0,0,1,2691,14.4542,,C,0
111,250,2,"Carter, Rev. Ernest Courtenay",male,54.0,1,0,244252,26.0,,S,0
112,140,1,"Giglio, Mr. Victor",male,24.0,0,0,PC 17593,79.2,B86,C,0
113,808,3,"Pettersson, Miss. Ellen Natalia",female,18.0,0,0,347087,7.775,,S,0
114,169,1,"Baumann, Mr. John D",male,,0,0,PC 17318,25.925,,S,0
115,265,3,"Henry, Miss. Delia",female,,0,0,382649,7.75,,Q,0
116,67,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.0,0,0,C.A. 29395,10.5,F33,S,1
117,572,1,"Appleton, Mrs. Edward Dale (Charlotte Lamson)",female,53.0,2,0,11769,51.4792,C101,S,1
118,111,1,"Porter, Mr. Walter Chamberlain",male,47.0,0,0,110465,52.0,C110,S,0
119,723,2,"Gillespie, Mr. William Henry",male,34.0,0,0,12233,13.0,,S,0
120,359,3,"McGovern, Miss. Mary",female,,0,0,330931,7.8792,,Q,1
121,511,3,"Daly, Mr. Eugene Patrick",male,29.0,0,0,382651,7.75,,Q,1
122,127,3,"McMahon, Mr. Martin",male,,0,0,370372,7.75,,Q,0
123,656,2,"Hickman, Mr. Leonard Mark",male,24.0,2,0,S.O.C. 14879,73.5,,S,0
124,668,3,"Rommetvedt, Mr. Knud Paust",male,,0,0,312993,7.775,,S,0
125,672,1,"Davidson, Mr. Thornton",male,31.0,1,0,F.C. 12750,52.0,B71,S,0
126,876,3,"Najib, Miss. Adele Kiamie ""Jane""",female,15.0,0,0,2667,7.225,,C,1
127,394,1,"Newell, Miss. Marjorie",female,23.0,1,0,35273,113.275,D36,C,1
128,636,2,"Davis, Miss. Mary",female,28.0,0,0,237668,13.0,,S,1
129,755,2,"Herman, Mrs. Samuel (Jane Laver)",female,48.0,1,2,220845,65.0,,S,1
130,622,1,"Kimball, Mr. Edwin Nelson Jr",male,42.0,1,0,11753,52.5542,D19,S,1
131,211,3,"Ali, Mr. Ahmed",male,24.0,0,0,SOTON/O.Q. 3101311,7.05,,S,0
132,409,3,"Birkeland, Mr. Hans Martin Monsen",male,21.0,0,0,312992,7.775,,S,0
133,180,3,"Leonard, Mr. Lionel",male,36.0,0,0,LINE,0.0,,S,0
134,80,3,"Dowdell, Miss. Elizabeth",female,30.0,0,0,364516,12.475,,S,1
135,406,2,"Gale, Mr. Shadrach",male,34.0,1,0,28664,21.0,,S,0
136,438,2,"Richards, Mrs. Sidney (Emily Hocking)",female,24.0,2,3,29106,18.75,,S,1
137,617,3,"Danbom, Mr. Ernst Gilbert",male,34.0,1,1,347080,14.4,,S,0
138,18,2,"Williams, Mr. Charles Eugene",male,,0,0,244373,13.0,,S,1
139,247,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.0,0,0,347071,7.775,,S,0
140,860,3,"Razi, Mr. Raihed",male,,0,0,2629,7.2292,,C,0
141,561,3,"Morrow, Mr. Thomas Rowan",male,,0,0,372622,7.75,,Q,0
142,847,3,"Sage, Mr. Douglas Bullen",male,,8,2,CA. 2343,69.55,,S,0
143,563,2,"Norman, Mr. Robert Douglas",male,28.0,0,0,218629,13.5,,S,0
144,633,1,"Stahelin-Maeglin, Dr. Max",male,32.0,0,0,13214,30.5,B50,C,1
145,351,3,"Odahl, Mr. Nils Martin",male,23.0,0,0,7267,9.225,,S,0
146,271,1,"Cairns, Mr. Alexander",male,,0,0,113798,31.0,,S,0
147,480,3,"Hirvonen, Miss. Hildur E",female,2.0,0,1,3101298,12.2875,,S,1
148,83,3,"McDermott, Miss. Brigdet Delia",female,,0,0,330932,7.7875,,Q,1
149,788,3,"Rice, Master. George Hugh",male,8.0,4,1,382652,29.125,,Q,0
150,88,3,"Slocovski, Mr. Selman Francis",male,,0,0,SOTON/OQ 392086,8.05,,S,0
151,38,3,"Cann, Mr. Ernest Charles",male,21.0,0,0,A./5. 2152,8.05,,S,0
152,880,1,"Potter, Mrs. Thomas Jr (Lily Alexenia Wilson)",female,56.0,0,1,11767,83.1583,C50,C,1
153,330,1,"Hippach, Miss. Jean Gertrude",female,16.0,0,1,111361,57.9792,B18,C,1
154,149,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.5,0,2,230080,26.0,F2,S,0
155,375,3,"Palsson, Miss. Stina Viola",female,3.0,3,1,349909,21.075,,S,0
156,739,3,"Ivanoff, Mr. Kanio",male,,0,0,349201,7.8958,,S,0
157,128,3,"Madsen, Mr. Fridtjof Arne",male,24.0,0,0,C 17369,7.1417,,S,1
158,774,3,"Elias, Mr. Dibo",male,,0,0,2674,7.225,,C,0
159,393,3,"Gustafsson, Mr. Johan Birger",male,28.0,2,0,3101277,7.925,,S,0
160,346,2,"Brown, Miss. Amelia ""Mildred""",female,24.0,0,0,248733,13.0,F33,S,1
161,432,3,"Thorneycroft, Mrs. Percival (Florence Kate White)",female,,1,0,376564,16.1,,S,1
162,407,3,"Widegren, Mr. Carl/Charles Peter",male,51.0,0,0,347064,7.75,,S,0
163,618,3,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",female,26.0,1,0,A/5. 3336,16.1,,S,0
164,257,1,"Thorne, Mrs. Gertrude Maybelle",female,,0,0,PC 17585,79.2,,C,1
165,806,3,"Johansson, Mr. Karl Johan",male,31.0,0,0,347063,7.775,,S,0
166,887,2,"Montvila, Rev. Juozas",male,27.0,0,0,211536,13.0,,S,0
167,186,1,"Rood, Mr. Hugh Roscoe",male,,0,0,113767,50.0,A32,S,0
168,706,2,"Morley, Mr. Henry Samuel (""Mr Henry Marshall"")",male,39.0,0,0,250655,26.0,,S,0
169,84,1,"Carrau, Mr. Francisco M",male,28.0,0,0,113059,47.1,,S,0
170,662,3,"Badt, Mr. Mohamed",male,40.0,0,0,2623,7.225,,C,0
171,221,3,"Sunderland, Mr. Victor Francis",male,16.0,0,0,SOTON/OQ 392089,8.05,,S,1
172,123,2,"Nasser, Mr. Nicholas",male,32.5,1,0,237736,30.0708,,C,0
173,698,3,"Mullens, Miss. Katherine ""Katie""",female,,0,0,35852,7.7333,,Q,1
174,421,3,"Gheorgheff, Mr. Stanio",male,,0,0,349254,7.8958,,C,0
175,171,1,"Van der hoef, Mr. Wyckoff",male,61.0,0,0,111240,33.5,B19,S,0
176,862,2,"Giles, Mr. Frederick Edward",male,21.0,1,0,28134,11.5,,S,0
177,311,1,"Hays, Miss. Margaret Bechstein",female,24.0,0,0,11767,83.1583,C54,C,1
178,483,3,"Rouse, Mr. Richard Henry",male,50.0,0,0,A/5 3594,8.05,,S,0
179,601,2,"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",female,24.0,2,1,243847,27.0,,S,1
180,505,1,"Maioni, Miss. Roberta",female,16.0,0,0,110152,86.5,B79,S,1
181,58,3,"Novel, Mr. Mansouer",male,28.5,0,0,2697,7.2292,,C,0
182,192,2,"Carbines, Mr. William",male,19.0,0,0,28424,13.0,,S,0
183,481,3,"Goodwin, Master. Harold Victor",male,9.0,5,2,CA 2144,46.9,,S,0
184,25,3,"Palsson, Miss. Torborg Danira",female,8.0,3,1,349909,21.075,,S,0
185,680,1,"Cardeza, Mr. Thomas Drake Martinez",male,36.0,0,1,PC 17755,512.3292,B51 B53 B55,C,1
186,87,3,"Ford, Mr. William Neal",male,16.0,1,3,W./C. 6608,34.375,,S,0
187,389,3,"Sadlier, Mr. Matthew",male,,0,0,367655,7.7292,,Q,0
188,569,3,"Doharr, Mr. Tannous",male,,0,0,2686,7.2292,,C,0
189,890,1,"Behr, Mr. Karl Howell",male,26.0,0,0,111369,30.0,C148,C,1
190,220,2,"Harris, Mr. Walter",male,30.0,0,0,W/C 14208,10.5,,S,0
191,459,2,"Toomey, Miss. Ellen",female,50.0,0,0,F.C.C. 13531,10.5,,S,1
192,232,3,"Larsson, Mr. Bengt Edvin",male,29.0,0,0,347067,7.775,,S,0
193,234,3,"Asplund, Miss. Lillian Gertrud",female,5.0,4,2,347077,31.3875,,S,1
194,503,3,"O'Sullivan, Miss. Bridget Mary",female,,0,0,330909,7.6292,,Q,0
195,881,2,"Shelley, Mrs. William (Imanita Parrish Hall)",female,25.0,0,1,230433,26.0,,S,1
196,162,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.0,0,0,C.A. 33595,15.75,,S,1
197,264,1,"Harrison, Mr. William",male,40.0,0,0,112059,0.0,B94,S,0
198,513,1,"McGough, Mr. James Robert",male,36.0,0,0,PC 17473,26.2875,E25,S,1
199,868,1,"Roebling, Mr. Washington Augustus II",male,31.0,0,0,PC 17590,50.4958,A24,S,0
200,288,3,"Naidenoff, Mr. Penko",male,22.0,0,0,349206,7.8958,,S,0
201,125,1,"White, Mr. Percival Wayland",male,54.0,0,1,35281,77.2875,D26,S,0
202,225,1,"Hoyt, Mr. Frederick Maxfield",male,38.0,1,0,19943,90.0,C93,S,1
203,778,3,"Emanuel, Miss. Virginia Ethel",female,5.0,0,0,364516,12.475,,S,1
204,704,3,"Gallagher, Mr. Martin",male,25.0,0,0,36864,7.7417,,Q,0
205,537,1,"Butt, Major. Archibald Willingham",male,45.0,0,0,113050,26.55,B38,S,0
206,742,1,"Cavendish, Mr. Tyrell William",male,36.0,1,0,19877,78.85,C46,S,0
207,830,1,"Stone, Mrs. George Nelson (Martha Evelyn)",female,62.0,0,0,113572,80.0,B28,,1
208,363,3,"Barbara, Mrs. (Catherine David)",female,45.0,0,1,2691,14.4542,,C,0
209,578,1,"Silvey, Mrs. William Baird (Alice Munger)",female,39.0,1,0,13507,55.9,E44,S,1
210,385,3,"Plotcharsky, Mr. Vasil",male,,0,0,349227,7.8958,,S,0
211,252,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.0,1,1,347054,10.4625,G6,S,0
212,479,3,"Karlsson, Mr. Nils August",male,22.0,0,0,350060,7.5208,,S,0
213,714,3,"Larsson, Mr. August Viktor",male,29.0,0,0,7545,9.4833,,S,0
214,462,3,"Morley, Mr. William",male,34.0,0,0,364506,8.05,,S,0
215,557,1,"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",female,48.0,1,0,11755,39.6,A16,C,1
216,9,3,"Johnson, Mrs. Oscar W (Elisabeth Vilhelmina Berg)",female,27.0,0,2,347742,11.1333,,S,1
217,686,2,"Laroche, Mr. Joseph Philippe Lemercier",male,25.0,1,2,SC/Paris 2123,41.5792,,C,0
218,349,3,"Coutts, Master. William Loch ""William""",male,3.0,1,1,C.A. 37671,15.9,,S,1
219,499,1,"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",female,25.0,1,2,113781,151.55,C22 C26,S,0
220,663,1,"Colley, Mr. Edward Pomeroy",male,47.0,0,0,5727,25.5875,E58,S,0
221,370,1,"Aubart, Mme. Leontine Pauline",female,24.0,0,0,PC 17477,69.3,B35,C,1
222,853,3,"Boulos, Miss. Nourelain",female,9.0,1,1,2678,15.2458,,C,0
223,745,3,"Stranden, Mr. Juho",male,31.0,0,0,STON/O 2. 3101288,7.925,,S,1
224,176,3,"Klasen, Mr. Klas Albin",male,18.0,1,1,350404,7.8542,,S,0
225,254,3,"Lobb, Mr. William Arthur",male,30.0,1,0,A/5. 3336,16.1,,S,0
226,605,1,"Homer, Mr. Harry (""Mr E Haven"")",male,35.0,0,0,111426,26.55,,C,1
227,362,2,"del Carlo, Mr. Sebastiano",male,29.0,1,0,SC/PARIS 2167,27.7208,,C,0
228,73,2,"Hood, Mr. Ambrose Jr",male,21.0,0,0,S.O.C. 14879,73.5,,S,0
229,728,3,"Mannion, Miss. Margareth",female,,0,0,36866,7.7375,,Q,1
230,478,3,"Braund, Mr. Lewis Richard",male,29.0,1,0,3460,7.0458,,S,0
231,604,3,"Torber, Mr. Ernst William",male,44.0,0,0,364511,8.05,,S,0
232,822,3,"Lulic, Mr. Nikola",male,27.0,0,0,315098,8.6625,,S,1
233,722,3,"Jensen, Mr. Svend Lauritz",male,17.0,1,0,350048,7.0542,,S,0
234,415,3,"Sundman, Mr. Johan Julian",male,44.0,0,0,STON/O 2. 3101269,7.925,,S,1
235,456,3,"Jalsevac, Mr. Ivan",male,29.0,0,0,349240,7.8958,,C,1
236,72,3,"Goodwin, Miss. Lillian Amy",female,16.0,5,2,CA 2144,46.9,,S,0
237,43,3,"Kraeff, Mr. Theodor",male,,0,0,349253,7.8958,,C,0
238,790,1,"Guggenheim, Mr. Benjamin",male,46.0,0,0,PC 17593,79.2,B82 B84,C,0
239,555,3,"Ohman, Miss. Velin",female,22.0,0,0,347085,7.775,,S,1
240,424,3,"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",female,28.0,1,1,347080,14.4,,S,0
241,764,1,"Carter, Mrs. William Ernest (Lucile Polk)",female,36.0,1,2,113760,120.0,B96 B98,S,1
242,488,1,"Kent, Mr. Edward Austin",male,58.0,0,0,11771,29.7,B37,C,0
243,10,2,"Nasser, Mrs. Nicholas (Adele Achem)",female,14.0,1,0,237736,30.0708,,C,1
244,666,2,"Hickman, Mr. Lewis",male,32.0,2,0,S.O.C. 14879,73.5,,S,0
245,612,3,"Jardin, Mr. Jose Neto",male,,0,0,SOTON/O.Q. 3101305,7.05,,S,0
246,552,2,"Sharp, Mr. Percival James R",male,27.0,0,0,244358,26.0,,S,0
247,163,3,"Bengtsson, Mr. John Viktor",male,26.0,0,0,347068,7.775,,S,0
248,646,1,"Harper, Mr. Henry Sleeper",male,48.0,1,0,PC 17572,76.7292,D33,C,1
249,652,2,"Doling, Miss. Elsie",female,18.0,0,1,231919,23.0,,S,1
250,468,1,"Smart, Mr. John Montgomery",male,56.0,0,0,113792,26.55,,S,0
251,769,3,"Moran, Mr. Daniel J",male,,1,0,371110,24.15,,Q,0
252,863,1,"Swift, Mrs. Frederick Joel (Margaret Welles Barron)",female,48.0,0,0,17466,25.9292,D17,S,1
253,803,1,"Carter, Master. William Thornton II",male,11.0,1,2,113760,120.0,B96 B98,S,1
254,64,3,"Skoog, Master. Harald",male,4.0,3,2,347088,27.9,,S,0
255,383,3,"Tikkanen, Mr. Juho",male,32.0,0,0,STON/O 2. 3101293,7.925,,S,0
256,573,1,"Flynn, Mr. John Irwin (""Irving"")",male,36.0,0,0,PC 17474,26.3875,E25,S,1
257,255,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.0,0,2,370129,20.2125,,S,0
258,358,2,"Funk, Miss. Annie Clemmer",female,38.0,0,0,237671,13.0,,S,0
259,7,1,"McCarthy, Mr. Timothy J",male,54.0,0,0,17463,51.8625,E46,S,0
260,885,3,"Sutehall, Mr. Henry Jr",male,25.0,0,0,SOTON/OQ 392076,7.05,,S,0
261,542,3,"Andersson, Miss. Ingeborg Constanzia",female,9.0,4,2,347082,31.275,,S,0
262,836,1,"Compton, Miss. Sara Rebecca",female,39.0,1,1,PC 17756,83.1583,E49,C,1
263,319,1,"Wick, Miss. Mary Natalie",female,31.0,0,2,36928,164.8667,C7,S,1
264,205,3,"Cohen, Mr. Gurshon ""Gus""",male,18.0,0,0,A/5 3540,8.05,,S,1
265,4,1,"Futrelle, Mrs. Jacques Heath (Lily May Peel)",female,35.0,1,0,113803,53.1,C123,S,1
266,654,3,"O'Leary, Miss. Hanora ""Norah""",female,,0,0,330919,7.8292,,Q,1
267,891,3,"Dooley, Mr. Patrick",male,32.0,0,0,370376,7.75,,Q,0
268,493,1,"Molson, Mr. Harry Markland",male,55.0,0,0,113787,30.5,C30,S,0
269,249,1,"Beckwith, Mr. Richard Leonard",male,37.0,1,1,11751,52.5542,D35,S,1
270,167,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,,0,1,113505,55.0,E33,S,1
271,20,3,"Masselmani, Mrs. Fatima",female,,0,0,2649,7.225,,C,1
272,287,3,"de Mulder, Mr. Theodore",male,30.0,0,0,345774,9.5,,S,1
273,244,3,"Maenpaa, Mr. Matti Alexanteri",male,22.0,0,0,STON/O 2. 3101275,7.125,,S,0
274,303,3,"Johnson, Mr. William Cahoone Jr",male,19.0,0,0,LINE,0.0,,S,0
275,276,1,"Andrews, Miss. Kornelia Theodosia",female,63.0,1,0,13502,77.9583,D7,S,1
276,795,3,"Dantcheff, Mr. Ristiu",male,25.0,0,0,349203,7.8958,,S,0
277,374,1,"Ringhini, Mr. Sante",male,22.0,0,0,PC 17760,135.6333,,C,0
278,256,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.0,0,2,2650,15.2458,,C,1
279,46,3,"Rogers, Mr. William John",male,,0,0,S.C./A.4. 23567,8.05,,S,0
280,695,1,"Weir, Col. John",male,60.0,0,0,113800,26.55,,S,0
281,632,3,"Lundahl, Mr. Johan Svensson",male,51.0,0,0,347743,7.0542,,S,0
282,181,3,"Sage, Miss. Constance Gladys",female,,8,2,CA. 2343,69.55,,S,0
283,364,3,"Asim, Mr. Adola",male,35.0,0,0,SOTON/O.Q. 3101310,7.05,,S,0
284,348,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,,1,0,386525,16.1,,S,1
